中文名,外文名,QS
敖德萨国立音乐学院,Одеська національна музична академія імені А.В. Нежданової,
奥廖尔国立大学,Орловский государственный университет имени И.С. Тургенева,
奥廖尔国立经济与贸易大学,Орловский государственный университет экономики и торговли,
奥廖尔国立农业大学,Орловский государственный аграрный университет имени Н.В.Парахина,
奥廖尔国立文化学院,Орловский государственный институт культуры,
奥伦堡国立大学,Оренбургский государственный университет,
奥伦堡国立师范大学,Оренбургский государственный педагогический университет,
奥什工艺大学,Ошский технологический университет имени академика М. Адышева,
奥什国立大学,Ошский Государственный университет,
八户工业大学,八戸工業大学,
八户学院大学,八戸学院大学,
巴拉诺维奇国立大学,Барановичский государственный университет,
巴什基尔国立农业大学,Башкирский государственный аграрный университет,
巴什基尔国立师范大学,Башкирский государственный педагогический университет им. М. Акмуллы,
巴什基尔国立医科大学,Башкирский государственный медицинский университет,
巴什科尔托斯坦共和国总统巴什基尔国家行政与管理学院,Башкирская академия государственной службы и управления при Главе Республики Башкортостан,
白百合女子大学,白百合女子大学,
白俄罗斯-俄罗斯大学,Белорусско-Российский университет,
白俄罗斯共和国军事学院,Военная академия Республики Беларусь,
白俄罗斯共和国总统管理学院,Академия управления при Президенте Республики Беларусь,
白俄罗斯国家科学院大学,Университет Национальной академии наук Беларуси,
白俄罗斯国家科学院经济研究所,Институт экономики Национальной академии наук Беларуси,
白俄罗斯国家科学院生物有机化学研究所,Институт биоорганической химии Национальной академии наук Беларуси,
白俄罗斯国家科学院生物资源科学与实践中心,Научно-практический центр Национальной академии наук Беларуси по биоресурсам,
白俄罗斯国家科学院文化、语言与文学研究中心,"Центр исследований белорусской культуры, языка и литературы Национальной академии наук Беларуси",
白俄罗斯国家科学院物理技术研究所,Физико-Технический Институт Национальной академии наук Беларуси,
白俄罗斯国家科学院应用物理研究所,Институт прикладной физики Национальной академии наук Беларуси,
白俄罗斯国立工艺大学,Белорусский государственный технологический университет,
白俄罗斯国立技术大学,Белорусский национальный технический университет,
白俄罗斯国立交通大学,Белорусский государственный университет транспорта,
白俄罗斯国立经济大学,Белорусский государственный экономический университет,
白俄罗斯国立农业技术大学,Белорусский государственный аграрный технический университет,
白俄罗斯国立农业学院,Белорусская государственная орденов Октябрьской Революции и Трудового Красного Знамени сельскохозяйственная академия,
白俄罗斯国立师范大学,Белорусский государственный педагогический университет имени Максима Танка,
白俄罗斯国立食品与化工大学,Белорусский государственный университет пищевых и химических технологий,
白俄罗斯国立体育大学,Белорусский государственный университет физической культуры,
白俄罗斯国立通信学院,Белорусская государственная академия связи,
白俄罗斯国立文化艺术大学,Белорусский государственный университет культуры и искусств,
白俄罗斯国立信息和无线电电子大学,Белорусский государственный университет информатики и радиоэлектроники,
白俄罗斯国立医科大学,Белорусский государственный медицинский университет,
白俄罗斯国立艺术学院,Белорусская государственная академия искусств,
白俄罗斯国立音乐学院,Белорусская государственная академия музыки,
白俄罗斯消费者合作贸易经济大学,Белорусский торгово-экономический университет потребительской кооперации,
白凤短期大学,白鳳短期大学,
白鸥大学,白鴎大学,
白瑟夫大学,Баишев университет,
白石大学,백석대학교,
白石文化大学,백석문화대학교,
柏木实业专门学校,柏木実業専門学校,
阪南大学,阪南大学,
浜松医科大学,浜松医科大学,
宝塚大学,宝塚大学,
宝塚医疗大学,宝塚医療大学,
北奥赛梯国立大学,Северо-Осетинский государственный университет имени Коста Левановича Хетагурова,
北方（北极）联邦大学,Северный (Арктический) федеральный университет имени М.В. Ломоносова,
北方国立医科大学,Северный государственный медицинский университет,
北高加索国立学院,Северо-Кавказская государственная академия,
北高加索联邦大学,Северо-Кавказский федеральный университет,
北哈萨克斯坦大学,Северо-Казахстанский университет им. М. Козыбаева,
北海道教育大学,北海道教育大学,
北海道科学大学,北海道科学大学,
北海道情报大学,北海道情報大学,
北海道文教大学,北海道文教大学,
北海道医疗大学,北海道医療大学,
北海商科大学,北海商科大学,
北海学园大学,北海学園大学,
北韩大学院大学,북한대학원대학교,
北见工业大学,北見工業大学,
北九州市立大学,北九州市立大学,
北陆大学,北陸大学,
北星学园大学,北星学園大学,
北星学园大学短期大学部,北星学園大学短期大学部,
北亚大学,ノースアジア大学,
北洋大学,北洋大学,
贝尔格莱德高等职业电气工程与计算机科学学院,Висока Школа Електротехнике и Рачунарства Струковних Студија у Београду,
贝尔格莱德高等职业健康学院,Висока здравствена школа струковних студија у Београду,
贝尔格莱德商业经济与创业学院,Висока школа за пословну економију и предузетништво у Београду,
贝尔格莱德体育教练学院,Виша школа за спортске тренере Београд,
贝加尔国立大学,Байкальский государственный университет,
奔萨国立大学,Пензенский государственный университет,
奔萨国立建筑大学,Пензенский государственный университет архитектуры и строительства,
比什凯克国立大学,Бишкекский государственный университет им. К.Карасаева,
比治山大学,比治山大学,
彼得罗夫国家肿瘤医学研究中心,Национальный медицинский исследовательский центр онкологии имени Н.Н. Петрова,
彼得罗扎沃茨克国立大学,Петрозаводский государственный университет,
彼得罗扎沃茨克国立音乐学院,Петрозаводская государственная консерватория имени А.К. Глазунова,
彼尔姆国家研究型大学,Пермский государственный национальный исследовательский университет,
彼尔姆国家研究型理工大学,Пермский национальный исследовательский политехнический университет,
彼尔姆国立农业技术大学,Пермский государственный аграрно-технологический университет имени академика Д.Н. Прянишникова,
彼尔姆国立人文师范大学,Пермский государственный гуманитарно-педагогический университет,
彼尔姆国立医科大学,Пермский государственный медицинский университет имени академика Е.А. Вагиера,
别尔哥罗德国立工艺大学,Белгородский государственный технологический университет им. В.Г. Шухова,
别尔哥罗德国立国家研究型大学,Белгородский государственный национальный исследовательский университет,
别尔哥罗德国立农业大学,Белгородский государственный аграрный университет имени В.Я. Горина,
别尔哥罗德国立文化艺术学院,Белгородский государственный институт искусств и культуры,
别尔哥罗德合作、经济与法律大学,"Белгородский университет кооперации, экономики и права",
别府大学,別府大学,
别府大学短期大学部,別府大学短期大学部,
别府沟部学园短期大学,別府溝部学園短期大学,
滨海国立农业技术大学,Приморский государственный аграрно-технологический университет,
兵库大学,兵庫大学,
兵库教育大学,兵庫教育大学,
兵库县立大学,兵庫県立大学,
兵库医科大学,兵庫医科大学,
波波夫合唱艺术学院,Академия хорового искусства имени В.С. Попова,
波列西耶国立大学,Полесский государственный университет,
波罗的海国立技术大学,"Балтийский государственный технический университет ""Военмех"" им. Д.Ф.Устинова",
波洛茨克国立大学,Полоцкий государственный университет имени Евфросинии Полоцкой,
布拉茨克国立大学,Братский государственный университет,
布拉戈维申斯克国立师范大学,Благовещенский государственный педагогический университет,
布里亚特国立大学,Бурятский государственный университет имени Доржи Банзарова,
布里亚特国立农业学院,Бурятская государственная сельскохозяйственная академия имени В.Р. Филиппова,
布良斯克国立大学,Брянский государственный университет имени академика И.Г. Петровского,
布良斯克国立技术大学,Брянский государственный технический университет,
布列斯特国立大学,Брестский государственный университет имени А.С.Пушкина,
布列斯特国立技术大学,Брестский государственный технический университет,
BIP法学院,БИП - Институт правоведения,
仓敷艺术科学大学,倉敷芸術科学大学,
仓敷作阳大学,くらしき作陽大学,
草堂大学,초당대학교,
产业能率大学,産業能率大学,
昌信大学,창신대학교,
常磐大学,常磐大学,
常叶大学,常葉大学,
朝日大学,朝日大学,
朝鲜理工大学,조선이공대학교,
朝鲜社会科学院,조선사회과학원,
车里雅宾斯克国立大学,Челябинский государственный университет,
车里雅宾斯克国立文化学院,Челябинский государственный институт культуры,
车医科学大学,차의과학대학교,
成安造型大学,成安造形大学,
成城大学,成城大学,
成蹊大学,成蹊大学,
诚信女子大学,성신여자대학교,
城西大学,城西大学,
城西短期大学,城西短期大学,
城西国际大学,城西国際大学,
池坊短期大学,池坊短期大学,
赤堀糕点制作专门学校,赤堀製菓専門学校,
赤门汽车维修专门学校,専門学校赤門自動車整備大学校,
冲绳大学,沖縄大学,
冲绳国际大学,沖縄国際大学,
冲绳县立艺术大学,沖縄県立芸術大学,
冲绳医疗工学院,沖縄医療工学院,
崇城大学,崇城大学,
楚瓦什国立大学,Чувашский государственный университет имени И.Н.Ульянова,
楚瓦什国立师范大学,Чувашский государственный педагогический университет им. И.Я. Яковлева,
楚瓦什国立文化艺术学院,Чувашский государственный институт культуры и искусств,
川村学园女子大学,川村学園女子大学,
川口文化服装专门学校,川口文化服装専門学校,
川崎医疗短期大学,川崎医療短期大学,
创价大学,創価大学,
创形美术学校,創形美術学校,
创业大学,Институт предпринимательской деятельности,
茨城大学,茨城大学,
茨城基督教大学,茨城キリスト教大学,
茨城女子短期大学,茨城女子短期大学,
茨城县立医疗大学,茨城県立医療大学,
嵯峨美术大学,嵯峨美術大学,
达吉斯坦国立大学,Дагестанский государственный университет,
达吉斯坦国立技术大学,Дагестанский государственный технический университет,
达吉斯坦国立人民经济大学,Дагестанский государственный университет народного хозяйства,
达吉斯坦国立师范大学,Дагестанский государственный педагогический университет,
大阪产业大学,大阪産業大学,
大阪成蹊大学,大阪成蹊大学,
大阪成蹊短期大学,大阪成蹊短期大学,
大阪齿科大学,大阪歯科大学,
大阪大谷大学,大阪大谷大学,
大阪电气通信大学,大阪電気通信大学,
大阪动画学院专门学校,大阪アニメーションカレッジ専門学校,
大阪府立大学,大阪府立大学,
大阪工业大学,大阪工業大学,
大阪观光大学,大阪観光大学,
大阪观光商务学院,大阪観光ビジネス学院,
大阪国际大学,大阪国際大学,
大阪教育大学,大阪教育大学,
大阪经济大学,大阪経済大学,
大阪经济法科大学,大阪経済法科大学,
大阪女学院大学,大阪女学院大学,
大阪女学院短期大学,大阪女学院短期大学,
大阪商业大学,大阪商業大学,
大阪生物医疗专门学校,大阪バイオメディカル専門学校,
大阪市立大学,大阪市立大学,
大阪体育大学,大阪体育大学,
大阪外语专门学校,大阪外語専門学校,
大阪文化服装学院,大阪文化服装学院,
大阪信息计算机专门学校,大阪情報コンピュータ専門学校,
大阪学院大学,大阪学院大学,
大阪学院大学短期大学部,大阪学院大学短期大学部,
大阪医科药科大学,大阪医科薬科大学,
大阪医专,大阪医専,
大阪艺术大学,大阪芸術大学,
大阪艺术大学短期大学部,大阪芸術大学短期大学部,
大阪艺术大学附属大阪美术专门学校,大阪芸術大学附属大阪美術専門学校,
大阪音乐大学,大阪音楽大学,
大阪音乐专门学校,大阪スクールオブミュージック専門学校,
大阪樟荫女子大学,大阪樟蔭女子大学,
大阪综合设计专门学校,大阪総合デザイン専門学校,
大阪MODE学园专门学校,大阪モード学園,
大德大学,대덕대학교,
大东文化大学,大東文化大学,
大分大学,大分大学,
大分工业高等专门学校,大分工業高等専門学校,
大谷大学,大谷大学,
大和大学,大和大学,
大林大学,대림대학교,
大卢基国立农学院,Великолукская государственная сельскохозяйственная академия,
大妻女子大学,大妻女子大学,
大妻女子大学短期大学部,大妻女子大学短期大学部,
大庆大学,대경대학교,
大邱保健大学,대구보건대학교,
大邱大学,대구대학교,
大邱工业大学,대구공업대학교,
大邱韩医大学,대구한의대학교,
大邱加图立大学,대구가톨릭대학교,
大邱教育大学,대구교육대학교,
大邱科学大学,대구과학대학교,
大手前大学,大手前大学,
大特尔诺沃大学,"Великотърновски университет ""Св. св. Кирил и Методий""",
大田保健大学,대전보건대학교,
大田大学,대전대학교,
大田科学技术大学,대전과학기술대학교,
大同大学,大同大学,
大信大学,대신대학교,
大元大学,대원대학교,
大原薄记公务员医疗福祉保育专门学校立川校,大原簿記公務員医療福祉保育専門学校立川校,
大原薄记公务员医疗信息商务专门学校津田沼校,大原簿記公務員医療情報ビジネス専門学校津田沼校,
大原簿记信息商务专门学校横滨校区,大原簿記情報ビジネス専門学校横浜校,
大原簿记学校,大原簿記学校,
大原簿记专门学校大阪校,大原簿記専門学校大阪校,
大原大学院大学,大原大学院大学,
大原医疗秘书福祉专门学校大宫校,大原医療秘書福祉専門学校大宮校,
大正大学,大正大学,
带广畜产大学,帯広畜産大学,
当代知识学院,Институт современных знаний имени А.М.Широкова,
岛根康复学院,リハビリテーションカレッジ島根,
岛根县立大学,島根県立大学,
德成女子大学,덕성여자대학교,
德岛工业短期大学,徳島工業短期大学,
德岛文理大学,徳島文理大学,
德岛文理大学短期大学部,徳島文理大学短期大学部,
德罗霍贝奇国立师范大学,Дрогобицький державний педагогічний університет імені Івана Франка,
帝京大学短期大学,帝京大学短期大学,
帝京科学大学,帝京科学大学,
帝京平成大学,帝京平成大学,
帝塚山大学,帝塚山大学,
第聂伯文化艺术学院,Дніпропетровський коледж культури і мистецтв,
第一工科大学,第一工科大学,
东邦音乐大学,東邦音楽大学,
东北电子专门学校,東北電子専門学校,
东北福祉大学,東北福祉大学,
东北工业大学,東北工業大学,
东北公益文科大学,東北公益文科大学,
东北联邦大学,Северо-Восточный федеральный университет имени М.К.Аммосова,
东北外国语观光专门学校,東北外語観光専門学校,
东北学院大学,東北学院大学,
东北医科药科大学,東北医科薬科大学,
东北艺术工科大学,東北芸術工科大学,
东大阪大学,東大阪大学,
东大阪大学短期大学部,東大阪大学短期大学部,
东方国家学院,Институт стран Востока,
东方经济法律人文学院,Восточная экономико-юридическая гуманитарная академия,
东方文化大学院大学,동방문화대학원대학교,
东放学园电影专门学校,東放学園映画専門学校,
东放学园音响专门学校,東放学園音響専門学校,
东放学园专门学校,東放学園専門学校,
东哈萨克斯坦大学,Восточно-Казахстанский университет имени Сарсена Аманжолова,
东哈萨克斯坦技术大学,Восточно-Казахстанский технический университет им. Д. Серикбаева,
东海齿科医疗专门学校,東海歯科医療専門学校,
东海学园大学,東海学園大学,
东海学院大学,東海学院大学,
东海学院文化教养专门学校,東海学院文化教養専門学校,
东京成德大学,東京成徳大学,
东京齿科卫生专门学校,東京歯科衛生専門学校,
东京电机大学,東京電機大学,
东京电子专门学校,東京電子専門学校,
东京动画学院专门学校,東京アニメーションカレッジ専門学校,
东京动画制作学院专门学校,東京アニメーター学院専門学校,
东京都立产业技术大学院大学,東京都立産業技術大学院大学,
东京都市大学,東京都市大学,
东京服饰专门学校,東京服飾専門学校,
东京福祉保育专门学校,東京福祉保育専門学校,
东京福祉大学,東京福祉大学,
东京福祉专门学校,東京福祉専門学校,
东京富士大学,東京富士大学,
东京糕点制作学校,東京製菓学校,
东京工科大学,東京工科大学,
东京工学院专门学校,東京工学院専門学校,
东京工艺大学,東京工芸大学,
东京广播学院专门学校,専門学校東京アナウンス学院,
东京国际大学,東京国際大学,
东京国际商务学院专门学校,専門学校東京国際ビジネスカレッジ,
东京国际商务学院专门学校神户校,専門学校東京国際ビジネスカレッジ神戸校,
东京国际学园外语专门学校,東京国際学園外語専門学校,
东京航空旅游酒店管理学校,東京エアトラベル・ホテル専門学校,
东京技术学院专门学校,専門学校東京テクニカルカレッジ,
东京家政大学,東京家政大学,
东京家政学院大学,東京家政学院大学,
东京交流艺术专门学校,東京コミュニケーションアート専門学校,
东京经济大学,東京経済大学,
东京经营短期大学,東京経営短期大学,
东京酒店与旅游学院专门学校,東京ホテル・トラベル学院専門学校,
东京立正短期大学,東京立正短期大学,
东京女子大学,東京女子大学,
东京情报大学,東京情報大学,
东京日建工科专门学校,東京日建工科専門学校,
东京山手厨师专门学校,東京山手調理師専門学校,
东京商科法科学院专门学校,東京商科・法科学院専門学校,
东京商务外语学院专门学校,専門学校東京ビジネス外語カレッジ,
东京设计技术中心专门学校,東京デザインテクノロジーセンター専門学校,
东京设计师学院专门学校,専門学校東京デザイナー・アカデミー,
东京设计专门学校,東京デザイン専門学校,
东京神学大学,東京神学大学,
东京时尚商业学院,ファッションビジネスカレッジ東京,
东京寿司和食烹饪专门学校,東京すし和食調理専門学校,
东京数字艺术专门学校,専門学校デジタルアーツ東京,
东京甜品咖啡专门学校,東京スイーツアンドカフェ専門学校,
东京外国语大学,東京外国語大学,
东京外语专门学校,東京外語専門学校,
东京未来大学福祉保育专门学校,東京未来大学福祉保育専門学校,
东京心理音乐疗法福祉专门学校,東京心理音楽療法福祉専門学校,
东京学艺大学,東京学芸大学,
东京药科大学,東京薬科大学,
东京医疗保健大学,東京医療保健大学,
东京艺术大学,東京芸術大学,
东京音乐大学,東京音楽大学,
东京音乐学院专门学校,専門学校ミュージシャンズ・インスティテュート東京,
东京音乐专门学校,東京スクール オブ ミュージック専門学校,
东京音乐专门学校涩谷校区,東京スクールオブミュージック専門学校渋谷,
东京英语专门学校,東京英語専門学校,
东京营养食粮专门学校,東京栄養食糧専門学校,
东京优雅糕点烹饪专门学校,東京ベルエポック製菓調理専門学校,
东京造型大学,東京造形大学,
东京综合写真专门学校,東京綜合写真専門学校,
东京COOLJAPAN专门学校,専門学校東京クールジャパン,
东京MODE学园专门学校,東京モード学園,
东明大学,동명대학교,
东欧经济与管理大学,Східноєвропейський університет економіки і менеджменту,
东日本国际大学,東日本国際大学,
东首尔大学,동서울대학교,
东西伯利亚国立工艺与管理大学,Восточно-Сибирский государственный университет технологий и управления,
东西伯利亚国立文化学院,Восточно-Сибирский государственный институт культуры,
东新大学,동신대학교,
东亚保健大学,동아보건대학교,
东亚经理专门学校神户站前分校,東亜経理専門学校神戸駅前校,
东洋大学,동양대학교,
东洋美术学校,東洋美術学校,
东洋未来大学,동양미래대학교,
东洋学园大学,東洋学園大学,
东洋英和女学院大学,東洋英和女学院大学,
东义大学,동의대학교,
东义科学大学,동의과학대학교,
东元大学,동원대학교,
东园科学技术大学,동원과학기술대학교,
都留文科大学,都留文科大学,
斗源工科大学,두원공과대학교,
独协大学,獨協大学,
独协医科大学,獨協医科大学,
读卖理工医疗福祉专门学校,読売理工医療福祉専門学校,
杜布纳大学,"Университет ""Дубна""",
顿河国立技术大学,Донской государственный технический университет,
多摩大学,多摩大学,
多摩美术大学,多摩美術大学,
多西特学院,"Висока Школа Академских Студија ""Доситеј"" у Београду",
DRESSMAKER学院,ドレスメーカー学院,
俄罗斯-塔吉克斯拉夫大学,Российско-Таджикский (Славянский) университет,
俄罗斯格涅辛音乐学院,Российская академия музыки имени Гнесиных,
俄罗斯国际旅游学院,Российская международная академия туризма,
俄罗斯国家科学院西伯利亚分院中西伯利亚植物园,Центральный сибирский ботанический сад СО РАН,
俄罗斯国家小剧院高等戏剧学院,Высшее театральное училище (институт) имени М.С. Щепкина при Государственном академическом Малом театре России,
俄罗斯国家研究型医科大学,Российский национальный исследовательский медицинский университет имени Н.И. Пирогова,
俄罗斯国立法律大学,Российский государственный университет правосудия,
俄罗斯国立工艺美术大学,Российский государственный художественно-промышленный университет им. С.Г. Строганова,
俄罗斯国立柯西金大学,Российский государственный университет им. А.Н. Косыгина (Технологии. Дизайн. Искусство),
俄罗斯国立旅游与服务大学,Российский государственный университет туризма и сервиса,
俄罗斯国立农业大学,Российский государственный аграрный университет - МСХА имени К.А.Тимирязева,
俄罗斯国立人文大学,Российский государственный гуманитарный университет,
俄罗斯国立社会大学,Российский государственный социальный университет,
俄罗斯国立社会技术大学,Российский государственный университет социальных технологий,
俄罗斯国立师范大学,Российский государственный педагогический университет им. А. И. Герцена,
俄罗斯国立石油天然气大学（国家研究型大学）,Российский государственный университет нефти и газа (Национальный исследовательский университет) имени И. М. Губкина,
俄罗斯国立水文气象大学,Российский государственный гидрометеорологический университет,
俄罗斯国立舞台艺术学院,Российский государственный институт сценических искусств,
俄罗斯国立谢尔戈·奥尔忠尼启则地质勘探大学,Российский государственный геологоразведочный университет имени Серго Орджоникизде,
俄罗斯国立知识产权学院,Российская государственная академия интеллектуальной собственности,
俄罗斯国立专业艺术学院,Российская государственная специализированная академия искусств,
俄罗斯海关学院,Российская таможенная академия,
俄罗斯合作大学,Российский университет кооперации,
俄罗斯交通大学,Российский университет транспорта,
俄罗斯教育科学院教育管理研究所,Институт управления образованием Российской академии образования,
俄罗斯科学院彼得大帝人类学与民族学博物馆,Музей антропологии и этнографии им. Петра Великого (Кунсткамера) РАН,
俄罗斯科学院地理研究所,Институт географии РАН,
俄罗斯科学院电物理与电力工程研究所,Институт электрофизики и электроэнергетики РАН,
俄罗斯科学院俄罗斯文学研究所,Институт русской литературы (Пушкинский дом) Российской академии наук,
俄罗斯科学院非水溶液化学研究所,Российская академия наук институт химии неводных растворов,
俄罗斯科学院分子生物学研究所,Институт молекулярной биологии им. В.А. Энгельгардта Российской академии наук,
俄罗斯科学院高尔基世界文学研究所,Институт мировой литературы имени А.М. Горького РАН,
俄罗斯科学院国家与法研究所,Институт государства и права Российской академии наук,
俄罗斯科学院核研究所,Институт ядерных исследований Российской академии наук,
俄罗斯科学院基础物理研究所,Институт общей физики им. А.М. Прохорова РАН,
俄罗斯科学院基础与无机化学研究所,Институт общей и неорганической химии им. Н.С. Курнакова Российской академии наук,
俄罗斯科学院激光与信息技术研究所,Институт проблем лазерных и информационных технологий РАН,
俄罗斯科学院进化生理学与生物化学研究所,Институт эволюционной физиологии и биохимии им. И.М. Сеченова РАН,
俄罗斯科学院经济研究所,Институт экономики РАН,
俄罗斯科学院理论与实验生物物理研究所,Институт теоретической и экспериментальной биофизики РАН,
俄罗斯科学院前寒武纪地质与年代学研究所,Институт геологии и геохронологии докембрия Российской академии наук,
俄罗斯科学院设计与工艺信息学学院,Институт конструкторско-технологической информатики Российской академии наук,
俄罗斯科学院圣彼得堡联邦研究中心,Санкт-Петербургский Федеральный исследовательский центр Российской академии наук,
俄罗斯科学院圣彼得堡信息与自动化研究所,Санкт-Петербургский институт информатики и автоматизации РАН,
俄罗斯科学院数学研究所,Математический институт им. В. А. Стеклова РАН,
俄罗斯科学院斯拉夫学研究所,Институт славяноведения Российской академии наук,
俄罗斯科学院乌拉尔分院高温电化学研究所,Институт Высокотемпературной электрохимии УРО РАН,
俄罗斯科学院乌拉尔分院金属物理研究所,Институт физики металлов имени М.Н. Михеева Уральского отделения Российской академии наук,
俄罗斯科学院乌拉尔分院经济研究所,Институт экономики Уральского отделения Российской академии наук,
俄罗斯科学院物理技术研究所,Физико-технический институт им. А.Ф. Иоффе РАН,
俄罗斯科学院西伯利亚分院大气光学研究所,Институт оптики атмосферы им. В.Е. Зуева Сибирского отделения Российской академии наук,
俄罗斯科学院西伯利亚分院冻土研究所,Институт мерзлотоведения им. П.И. Мельникова Сибирского отделения Российской академии наук,
俄罗斯科学院西伯利亚分院固体化学与机械化学研究所,Институт химии твердого тела и механохимии Сибирского отделения РАН,
俄罗斯科学院西伯利亚分院核物理研究所,Институт ядерной физики им. Г.И. Будкера Сибирского отделения Российской академии наук,
俄罗斯科学院西伯利亚分院化学生物学与基础医学研究所,Институт химической биологии и фундаментальной медицины СО РАН,
俄罗斯科学院西伯利亚分院劳动红旗勋章日地物理研究所,Ордена Трудового Красного Знамени Институт солнечно-земной физики Сибирского отделения Российской академии наук,
俄罗斯科学院西伯利亚分院流体力学研究所,Институт гидродинамики им. М.А. Лаврентьева Сибирского отделения Российской академии наук,
俄罗斯科学院西伯利亚分院蒙古学、佛学与藏学研究所,"Институт Монголоведения, Буддологии и Тибетологии СО РАН",
俄罗斯科学院西伯利亚分院能源系统研究所,Институт систем энергетики имени Л. А. Мелентьева СО РАН,
俄罗斯科学院西伯利亚分院强度物理与材料学研究所,Институт физики прочности и материаловедения Сибирского отделения Российской академии наук (ИФПМ СО РАН),
俄罗斯科学院西伯利亚分院生物物理研究所,Институт Биофизики СО РАН,
俄罗斯科学院西伯利亚分院新西伯利亚有机化学研究所,Новосибирский институт органической химии имени Н.Н. Ворожцова СО РАН Россия,
俄罗斯科学院西伯利亚分院伊尔库茨克化学研究所,Иркутский институт химии им. А. Е. Фаворского СО РАН,
俄罗斯科学院西伯利亚分院伊尔库茨克科学中心,Иркутский научный центр Сибирского отделения Российской академии наук,
俄罗斯科学院西伯利亚分院油气地质学与地球物理学研究所,Институт нефтегазовой геологии и геофизики имени А.А. Трофимука СО РАН,
俄罗斯科学院西伯利亚分院语文学研究所,Институт филологии Сибирского отделения Российской академии наук,
俄罗斯科学院细胞学研究所,Институт цитологии Российской академии наук,
俄罗斯科学院冶金与材料科学研究所,Институт металлургии и материаловедения им. А. А. Байкова РАН,
俄罗斯科学院伊什林斯基力学问题研究所,Институт проблем механики им. А.Ю. Ишлинского Российской академии наук,
俄罗斯科学院应用数学研究所,Институт прикладной математики имени М.В. Келдыша РАН,
俄罗斯科学院有机化学研究所,Институт органической химии им. Н. Д. Зелинского РАН,
俄罗斯科学院语言学研究所,Институт языкознания Российской академии наук,
俄罗斯科学院元素有机化合物研究所,Институт элементоорганических соединений им. А. Н. Несмеянова Российской академии наук,
俄罗斯科学院远东分院太平洋生物有机化学研究所,Тихоокеанский институт биоорганической химии ДВО РАН,
俄罗斯科学院远东分院远东人民历史、考古与民俗学研究所,"Институт истории, археологии и этнографии народов Дальнего Востока ДВО РАН",
俄罗斯科学院远东分院自动化与过程控制研究所,Институт автоматики и процессов управления ДВО РАН,
俄罗斯科学院远东研究所,Институт Дальнего Востока Российской академии наук,
